acc,accuracy,average_response_time,avg_rt,background,batchId,batchTitle,bidi,canvas_backend,clock_backend,color_backend,compensation,componentId,componentPos,componentResultId,componentTitle,coordinates,correct,count_end,count_experiment,count_osweb,count_prestudy,count_prestudy_isi,count_prestudy_sequence,count_prestudy_stimpres,count_start,count_study,count_study_isi,count_study_logger,count_study_response,count_study_sequence,count_study_start,count_study_stimpres,count_study_stimpres_2,count_test,count_test_isi,count_test_logger,count_test_response,count_test_sequence,count_test_start,count_test_stimpres,count_test_stimpres_2,datetime,description,disable_garbage_collection,experiment_path,fampict,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,groupMemberId,groupResultId,height,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,response,response_start,response_study_response,response_study_start,response_test_response,response_test_start,response_time,response_time_start,response_time_study_response,response_time_study_start,response_time_test_response,response_time_test_start,round_decimals,sampler_backend,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim,studyId,studyResultId,studyTitle,subject_nr,subject_parity,time_prestudy,time_prestudy_isi,time_prestudy_stimpres,time_start,time_study,time_study_isi,time_study_logger,time_study_response,time_study_start,time_study_stimpres,time_study_stimpres_2,time_test,time_test_isi,time_test_logger,time_test_response,time_test_start,time_test_stimpres,time_test_stimpres_2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,workerId
0,0,3008,3008,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,0,0,0,0,0,0,0,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3008,12129,3008,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p6sarr1.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,154115,155620,149102,125072,149101,152111,91,,,,,,,visual_patterns,0,3008,1,yes,1366,2626
0,0,3010,3010,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,1,1,1,1,0,1,1,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3012,12129,3012,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,prototype3.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,160663,162165,155646,125072,155646,158659,91,,,,,,,visual_patterns,0,6020,2,yes,1366,2626
0,0,3009,3009,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,2,2,2,2,0,2,2,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3008,12129,3008,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p3sarr1.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,167193,168696,162181,125072,162180,165189,91,,,,,,,visual_patterns,0,9028,3,yes,1366,2626
0,0,3008,3008,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,3,3,3,3,0,3,3,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3005,12129,3005,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p9sarr2.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,173724,175227,168714,125072,168714,171720,91,,,,,,,visual_patterns,0,12033,4,yes,1366,2626
0,0,3008,3008,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,4,4,4,4,0,4,4,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3007,12129,3007,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p4sarr2.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,180255,181758,175243,125072,175243,178251,91,,,,,,,visual_patterns,0,15040,5,yes,1366,2626
0,0,3007,3007,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,5,5,5,5,0,5,5,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3003,12129,3003,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p4sarrshacol2.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,186786,188289,181778,125072,181778,184782,91,,,,,,,visual_patterns,0,18043,6,yes,1366,2626
0,0,3007,3007,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,6,6,6,6,0,6,6,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3007,12129,3007,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p5sarrsha2.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,193316,194819,188305,125072,188305,191312,91,,,,,,,visual_patterns,0,21050,7,yes,1366,2626
0,0,3007,3007,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,7,7,7,7,0,7,7,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3008,12129,3008,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p2sarr1.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,199847,201350,194835,125072,194835,197844,91,,,,,,,visual_patterns,0,24058,8,yes,1366,2626
0,0,3008,3008,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,8,8,8,8,0,8,8,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,None,enter,None,space,,,3011,12129,3011,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,prototype4.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,206379,207881,201363,125072,201363,204375,91,,,,,,,visual_patterns,0,27069,9,yes,1366,2626
0,0,2738,2738,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,9,9,9,9,0,9,9,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,left,enter,left,space,,,308,12129,308,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p5sarrsha1.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,210220,211723,207901,125072,207901,208216,91,,,,,,,visual_patterns,0,27377,10,yes,1366,2626
0,0,2691,2691,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,10,10,10,10,0,10,10,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,left,enter,left,space,,,2222,12129,2222,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p5sarrcol1.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,215982,217485,211742,125072,211742,213978,91,,,,,,,visual_patterns,0,29599,11,yes,1366,2626
0,0,2552,2552,white,70,Default,no,xpyriment,legacy,legacy,0,70,1,1085,OSWeb experiment,uniform,undefined,0,0,0,0,24,24,24,0,0,11,11,11,11,0,11,11,0,,,,,0,,,Thu Sep 30 2021 11:34:10 GMT+0200 (Central European Summer Time),The main experiment item,yes,C:/Users/Ricsi/Documents/!!ResearchBMECOGSCI,prototype2.png,no,mono,no,18,no,black,no,no,None,null,768,legacy,xpyriment,osweb,1.3.3,right,enter,right,space,,,1019,12129,1019,23984,,,2,legacy,1632993686913,1024,2,48000,-16,experiment,p8sarr2.png,70,1113,visual_patterns_original,1,odd,91,123566,120561,91,91,220542,222045,217505,125072,217505,218538,91,,,,,,,visual_patterns,0,30618,12,yes,1366,2626
