"pict","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"p10sarr1",0,0,1,1,1,1,0,0,1
"p10sarr1col",0,0,1,1,1,3,0,0,4
"p10sarr1sha",0,0,3,3,1,2,0,0,3
"p10sarr2",0,0,1,1,1,1,0,0,1
"p10sarr2col",0,0,1,2,2,6,0,0,6
"p10sarr2sha",0,0,1,2,3,3,0,0,3
"p10sarr3",0,0,1,1,1,1,0,0,1
"p10sarr3col",0,0,2,3,2,1,0,0,5
"p10sarr3sha",0,0,2,2,2,1,0,0,1
"p10sarr4",0,0,1,1,1,1,0,0,1
"p10sarr4col",0,0,1,6,1,3,0,0,4
"p10sarr4sha",0,0,2,2,3,1,0,0,3
"p1sarr1",0,0,1,1,1,0,1,0,1
"p1sarr1col",0,0,5,5,3,0,1,0,3
"p1sarr1sha",0,0,1,3,1,0,1,0,1
"p1sarr2",0,0,1,1,1,0,1,0,1
"p1sarr2col",0,0,3,5,3,0,1,0,6
"p1sarr2sha",0,0,2,2,3,0,2,0,2
"p1sarr3",0,0,1,1,1,0,1,0,1
"p1sarr3col",0,0,6,4,5,0,6,0,3
"p1sarr3sha",0,0,2,1,2,0,2,0,3
"p1sarr4",0,0,1,1,1,0,1,0,1
"p1sarr4col",0,0,1,1,1,0,2,0,4
"p1sarr4sha",0,0,1,1,2,0,2,0,3
"p1sarrcol1",0,0,1,1,1,0,1,0,1
"p1sarrcol1col",0,0,2,3,2,0,2,0,1
"p1sarrcol1sha",0,0,1,2,1,0,1,0,1
"p1sarrcol2",0,0,1,1,1,0,1,0,1
"p1sarrcol2col",0,0,2,3,2,0,2,0,1
"p1sarrcol2sha",0,0,2,3,1,0,2,0,3
"p1sarrcol3",0,0,1,1,1,0,1,0,1
"p1sarrcol3col",0,0,2,3,2,0,2,0,1
"p1sarrcol3sha",0,0,2,1,3,0,2,0,2
"p1sarrcol4",0,0,1,1,1,0,1,0,1
"p1sarrcol4col",0,0,2,3,2,0,2,0,1
"p1sarrcol4sha",0,0,3,2,1,0,2,0,3
"p1sarrsha1",0,0,1,1,1,0,1,0,1
"p1sarrsha1col",0,0,6,1,3,0,6,0,3
"p1sarrsha1sha",0,0,1,2,1,0,2,0,1
"p1sarrsha2",0,0,1,1,1,0,1,0,1
"p1sarrsha2col",0,0,4,5,5,0,3,0,5
"p1sarrsha2sha",0,0,1,2,1,0,2,0,1
"p1sarrsha3",0,0,1,1,1,0,1,0,1
"p1sarrsha3col",0,0,6,5,6,0,1,0,6
"p1sarrsha3sha",0,0,1,2,1,0,2,0,1
"p1sarrsha4",0,0,1,1,1,0,1,0,1
"p1sarrsha4col",0,0,5,3,2,0,6,0,4
"p1sarrsha4sha",0,0,1,2,1,0,2,0,1
"p1sarrshacol1",0,0,1,1,1,0,1,0,1
"p1sarrshacol1col",0,0,3,2,3,0,2,0,1
"p1sarrshacol1sha",0,0,1,2,1,0,2,0,1
"p1sarrshacol2",0,0,1,1,1,0,1,0,1
"p1sarrshacol2col",0,0,3,2,2,0,2,0,2
"p1sarrshacol2sha",0,0,1,2,1,0,2,0,1
"p1sarrshacol3",0,0,1,1,1,0,1,0,1
"p1sarrshacol3col",0,0,2,3,2,0,1,0,3
"p1sarrshacol3sha",0,0,1,2,1,0,2,0,1
"p1sarrshacol4",0,0,1,1,1,0,1,0,1
"p1sarrshacol4col",0,0,3,1,3,0,1,0,2
"p1sarrshacol4sha",0,0,1,2,1,0,2,0,1
"p2sarr1",1,0,1,1,1,0,1,0,0
"p2sarr1col",1,0,5,2,2,0,5,0,0
"p2sarr1sha",1,0,2,3,1,0,2,0,0
"p2sarr2",1,0,1,1,1,0,1,0,0
"p2sarr2col",4,0,5,1,5,0,3,0,0
"p2sarr2sha",1,0,2,3,2,0,2,0,0
"p2sarr3",1,0,1,1,1,0,1,0,0
"p2sarr3col",1,0,2,5,1,0,3,0,0
"p2sarr3sha",2,0,2,2,3,0,2,0,0
"p2sarr4",1,0,1,1,1,0,1,0,0
"p2sarr4col",1,0,1,2,6,0,6,0,0
"p2sarr4sha",2,0,1,2,1,0,3,0,0
"p2sarrcol1",1,0,1,1,1,0,1,0,0
"p2sarrcol1col",6,0,6,1,6,0,5,0,0
"p2sarrcol1sha",2,0,3,1,1,0,3,0,0
"p2sarrcol2",1,0,1,1,1,0,1,0,0
"p2sarrcol2col",6,0,6,1,6,0,5,0,0
"p2sarrcol2sha",3,0,1,3,3,0,3,0,0
"p2sarrcol3",1,0,1,1,1,0,1,0,0
"p2sarrcol3col",6,0,6,1,6,0,5,0,0
"p2sarrcol3sha",1,0,2,2,3,0,2,0,0
"p2sarrcol4",1,0,1,1,1,0,1,0,0
"p2sarrcol4col",6,0,6,1,6,0,5,0,0
"p2sarrcol4sha",1,0,2,3,3,0,2,0,0
"p2sarrsha1",1,0,1,1,1,0,1,0,0
"p2sarrsha1col",1,0,6,1,2,0,6,0,0
"p2sarrsha1sha",2,0,2,2,1,0,2,0,0
"p2sarrsha2",1,0,1,1,1,0,1,0,0
"p2sarrsha2col",2,0,5,1,1,0,4,0,0
"p2sarrsha2sha",2,0,2,2,1,0,2,0,0
"p2sarrsha3",1,0,1,1,1,0,1,0,0
"p2sarrsha3col",6,0,4,6,6,0,3,0,0
"p2sarrsha3sha",2,0,2,2,1,0,2,0,0
"p2sarrsha4",1,0,1,1,1,0,1,0,0
"p2sarrsha4col",2,0,1,1,1,0,5,0,0
"p2sarrsha4sha",2,0,2,2,1,0,2,0,0
"p2sarrshacol1",1,0,1,1,1,0,1,0,0
"p2sarrshacol1col",5,0,1,6,5,0,1,0,0
"p2sarrshacol1sha",2,0,2,2,1,0,2,0,0
"p2sarrshacol2",1,0,1,1,1,0,1,0,0
"p2sarrshacol2col",5,0,5,1,1,0,5,0,0
"p2sarrshacol2sha",2,0,2,2,1,0,2,0,0
"p2sarrshacol3",1,0,1,1,1,0,1,0,0
"p2sarrshacol3col",6,0,6,5,1,0,6,0,0
"p2sarrshacol3sha",2,0,2,2,1,0,2,0,0
"p2sarrshacol4",1,0,1,1,1,0,1,0,0
"p2sarrshacol4col",1,0,5,6,6,0,1,0,0
"p2sarrshacol4sha",2,0,2,2,1,0,2,0,0
"p3sarr1",0,0,1,1,1,1,0,1,0
"p3sarr1col",0,0,5,3,4,5,0,4,0
"p3sarr1sha",0,0,2,2,1,3,0,1,0
"p3sarr2",0,0,1,1,1,1,0,1,0
"p3sarr2col",0,0,5,3,6,5,0,3,0
"p3sarr2sha",0,0,3,3,1,3,0,1,0
"p3sarr3",0,0,1,1,1,1,0,1,0
"p3sarr3col",0,0,3,3,1,2,0,6,0
"p3sarr3sha",0,0,1,1,1,1,0,1,0
"p3sarr4",0,0,1,1,1,1,0,1,0
"p3sarr4col",0,0,5,2,4,3,0,4,0
"p3sarr4sha",0,0,3,2,2,1,0,2,0
"p3sarrcol1",0,0,1,1,1,1,0,1,0
"p3sarrcol1col",0,0,1,2,1,5,0,6,0
"p3sarrcol1sha",0,0,3,2,3,2,0,1,0
"p3sarrcol2",0,0,1,1,1,1,0,1,0
"p3sarrcol2col",0,0,1,2,1,5,0,6,0
"p3sarrcol2sha",0,0,2,2,3,2,0,2,0
"p3sarrcol3",0,0,1,1,1,1,0,1,0
"p3sarrcol3col",0,0,1,2,1,5,0,6,0
"p3sarrcol3sha",0,0,3,3,2,3,0,2,0
"p3sarrcol4",0,0,1,1,1,1,0,1,0
"p3sarrcol4col",0,0,1,2,1,5,0,6,0
"p3sarrcol4sha",0,0,2,2,1,2,0,1,0
"p3sarrsha1",0,0,1,1,1,1,0,1,0
"p3sarrsha1col",0,0,1,3,5,4,0,1,0
"p3sarrsha1sha",0,0,2,1,1,1,0,3,0
"p3sarrsha2",0,0,1,1,1,1,0,1,0
"p3sarrsha2col",0,0,2,4,6,2,0,1,0
"p3sarrsha2sha",0,0,2,1,1,1,0,3,0
"p3sarrsha3",0,0,1,1,1,1,0,1,0
"p3sarrsha3col",0,0,2,6,3,4,0,6,0
"p3sarrsha3sha",0,0,2,1,1,1,0,3,0
"p3sarrsha4",0,0,1,1,1,1,0,1,0
"p3sarrsha4col",0,0,2,3,6,5,0,4,0
"p3sarrsha4sha",0,0,2,1,1,1,0,3,0
"p3sarrshacol1",0,0,1,1,1,1,0,1,0
"p3sarrshacol1col",0,0,5,6,5,2,0,2,0
"p3sarrshacol1sha",0,0,2,1,1,1,0,3,0
"p3sarrshacol2",0,0,1,1,1,1,0,1,0
"p3sarrshacol2col",0,0,5,5,2,2,0,5,0
"p3sarrshacol2sha",0,0,2,1,1,1,0,3,0
"p3sarrshacol3",0,0,1,1,1,1,0,1,0
"p3sarrshacol3col",0,0,2,6,2,2,0,5,0
"p3sarrshacol3sha",0,0,2,1,1,1,0,3,0
"p3sarrshacol4",0,0,1,1,1,1,0,1,0
"p3sarrshacol4col",0,0,1,2,1,5,0,5,0
"p3sarrshacol4sha",0,0,2,1,1,1,0,3,0
"p4sarr1",1,1,0,1,1,0,0,1,0
"p4sarr1col",4,1,0,5,5,0,0,3,0
"p4sarr1sha",2,2,0,2,3,0,0,3,0
"p4sarr2",1,1,0,1,1,0,0,1,0
"p4sarr2col",1,3,0,1,1,0,0,6,0
"p4sarr2sha",3,2,0,2,1,0,0,2,0
"p4sarr3",1,1,0,1,1,0,0,1,0
"p4sarr3col",5,5,0,2,2,0,0,4,0
"p4sarr3sha",1,2,0,1,3,0,0,1,0
"p4sarr4",1,1,0,1,1,0,0,1,0
"p4sarr4col",5,3,0,5,6,0,0,2,0
"p4sarr4sha",1,2,0,2,1,0,0,3,0
"p4sarrcol1",1,1,0,1,1,0,0,1,0
"p4sarrcol1col",6,1,0,6,6,0,0,6,0
"p4sarrcol1sha",3,2,0,1,2,0,0,2,0
"p4sarrcol2",1,1,0,1,1,0,0,1,0
"p4sarrcol2col",6,1,0,6,6,0,0,6,0
"p4sarrcol2sha",1,1,0,2,2,0,0,3,0
"p4sarrcol3",1,1,0,1,1,0,0,1,0
"p4sarrcol3col",6,1,0,6,6,0,0,6,0
"p4sarrcol3sha",2,1,0,1,1,0,0,2,0
"p4sarrcol4",1,1,0,1,1,0,0,1,0
"p4sarrcol4col",6,1,0,6,6,0,0,6,0
"p4sarrcol4sha",3,1,0,2,3,0,0,1,0
"p4sarrsha1",1,1,0,1,1,0,0,1,0
"p4sarrsha1col",6,2,0,1,5,0,0,5,0
"p4sarrsha1sha",3,3,0,1,3,0,0,2,0
"p4sarrsha2",1,1,0,1,1,0,0,1,0
"p4sarrsha2col",1,6,0,4,1,0,0,3,0
"p4sarrsha2sha",3,3,0,1,3,0,0,2,0
"p4sarrsha3",1,1,0,1,1,0,0,1,0
"p4sarrsha3col",1,4,0,2,3,0,0,6,0
"p4sarrsha3sha",3,3,0,1,3,0,0,2,0
"p4sarrsha4",1,1,0,1,1,0,0,1,0
"p4sarrsha4col",2,3,0,4,4,0,0,6,0
"p4sarrsha4sha",3,3,0,1,3,0,0,2,0
"p4sarrshacol1",1,1,0,1,1,0,0,1,0
"p4sarrshacol1col",1,1,0,1,6,0,0,6,0
"p4sarrshacol1sha",3,3,0,1,3,0,0,2,0
"p4sarrshacol2",1,1,0,1,1,0,0,1,0
"p4sarrshacol2col",6,1,0,1,1,0,0,6,0
"p4sarrshacol2sha",3,3,0,1,3,0,0,2,0
"p4sarrshacol3",1,1,0,1,1,0,0,1,0
"p4sarrshacol3col",1,6,0,1,1,0,0,1,0
"p4sarrshacol3sha",3,3,0,1,3,0,0,2,0
"p4sarrshacol4",1,1,0,1,1,0,0,1,0
"p4sarrshacol4col",1,6,0,1,6,0,0,1,0
"p4sarrshacol4sha",3,3,0,1,3,0,0,2,0
"p5sarr1",0,1,1,0,1,1,1,0,0
"p5sarr1col",0,3,5,0,5,6,2,0,0
"p5sarr1sha",0,2,2,0,1,1,1,0,0
"p5sarr2",0,1,1,0,1,1,1,0,0
"p5sarr2col",0,6,6,0,5,6,5,0,0
"p5sarr2sha",0,1,1,0,3,3,2,0,0
"p5sarr3",0,1,1,0,1,1,1,0,0
"p5sarr3col",0,6,1,0,5,2,5,0,0
"p5sarr3sha",0,2,3,0,1,3,3,0,0
"p5sarr4",0,1,1,0,1,1,1,0,0
"p5sarr4col",0,6,6,0,5,5,4,0,0
"p5sarr4sha",0,2,2,0,3,1,2,0,0
"p5sarrcol1",0,1,1,0,1,1,1,0,0
"p5sarrcol1col",0,4,2,0,1,4,2,0,0
"p5sarrcol1sha",0,2,3,0,2,3,1,0,0
"p5sarrcol2",0,1,1,0,1,1,1,0,0
"p5sarrcol2col",0,4,2,0,1,4,2,0,0
"p5sarrcol2sha",0,1,1,0,1,3,3,0,0
"p5sarrcol3",0,1,1,0,1,1,1,0,0
"p5sarrcol3col",0,4,2,0,1,4,2,0,0
"p5sarrcol3sha",0,3,3,0,1,3,3,0,0
"p5sarrcol4",0,1,1,0,1,1,1,0,0
"p5sarrcol4col",0,4,2,0,1,4,2,0,0
"p5sarrcol4sha",0,3,2,0,3,2,1,0,0
"p5sarrsha1",0,1,1,0,1,1,1,0,0
"p5sarrsha1col",0,6,1,0,2,6,2,0,0
"p5sarrsha1sha",0,1,2,0,1,1,3,0,0
"p5sarrsha2",0,1,1,0,1,1,1,0,0
"p5sarrsha2col",0,3,6,0,6,3,5,0,0
"p5sarrsha2sha",0,1,2,0,1,1,3,0,0
"p5sarrsha3",0,1,1,0,1,1,1,0,0
"p5sarrsha3col",0,3,4,0,6,6,6,0,0
"p5sarrsha3sha",0,1,2,0,1,1,3,0,0
"p5sarrsha4",0,1,1,0,1,1,1,0,0
"p5sarrsha4col",0,5,1,0,6,6,6,0,0
"p5sarrsha4sha",0,1,2,0,1,1,3,0,0
"p5sarrshacol1",0,1,1,0,1,1,1,0,0
"p5sarrshacol1col",0,4,1,0,2,2,2,0,0
"p5sarrshacol1sha",0,1,2,0,1,1,3,0,0
"p5sarrshacol2",0,1,1,0,1,1,1,0,0
"p5sarrshacol2col",0,4,1,0,1,1,4,0,0
"p5sarrshacol2sha",0,1,2,0,1,1,3,0,0
"p5sarrshacol3",0,1,1,0,1,1,1,0,0
"p5sarrshacol3col",0,4,4,0,2,4,1,0,0
"p5sarrshacol3sha",0,1,2,0,1,1,3,0,0
"p5sarrshacol4",0,1,1,0,1,1,1,0,0
"p5sarrshacol4col",0,2,4,0,4,4,4,0,0
"p5sarrshacol4sha",0,1,2,0,1,1,3,0,0
"p6sarr1",0,1,1,0,1,1,0,1,0
"p6sarr1col",0,4,5,0,1,6,0,5,0
"p6sarr1sha",0,1,2,0,3,3,0,3,0
"p6sarr2",0,1,1,0,1,1,0,1,0
"p6sarr2col",0,2,1,0,4,5,0,4,0
"p6sarr2sha",0,3,1,0,2,1,0,2,0
"p6sarr3",0,1,1,0,1,1,0,1,0
"p6sarr3col",0,2,6,0,5,6,0,3,0
"p6sarr3sha",0,1,1,0,2,1,0,1,0
"p6sarr4",0,1,1,0,1,1,0,1,0
"p6sarr4col",0,1,3,0,2,5,0,3,0
"p6sarr4sha",0,1,1,0,2,3,0,1,0
"p7sarr1",0,1,1,1,0,0,1,0,1
"p7sarr1col",0,3,2,1,0,0,6,0,4
"p7sarr1sha",0,3,3,2,0,0,3,0,2
"p7sarr2",0,1,1,1,0,0,1,0,1
"p7sarr2col",0,5,6,6,0,0,2,0,5
"p7sarr2sha",0,3,3,1,0,0,2,0,2
"p7sarr3",0,1,1,1,0,0,1,0,1
"p7sarr3col",0,6,1,4,0,0,4,0,6
"p7sarr3sha",0,2,1,3,0,0,1,0,1
"p7sarr4",0,1,1,1,0,0,1,0,1
"p7sarr4col",0,6,5,5,0,0,1,0,2
"p7sarr4sha",0,1,2,1,0,0,1,0,1
"p8sarr1",1,1,1,0,0,0,1,0,1
"p8sarr1col",2,2,3,0,0,0,5,0,5
"p8sarr1sha",1,2,1,0,0,0,2,0,1
"p8sarr2",1,1,1,0,0,0,1,0,1
"p8sarr2col",2,1,4,0,0,0,2,0,2
"p8sarr2sha",1,2,3,0,0,0,1,0,1
"p8sarr3",1,1,1,0,0,0,1,0,1
"p8sarr3col",1,6,6,0,0,0,2,0,2
"p8sarr3sha",2,1,1,0,0,0,1,0,2
"p8sarr4",1,1,1,0,0,0,1,0,1
"p8sarr4col",5,2,3,0,0,0,2,0,5
"p8sarr4sha",1,3,3,0,0,0,3,0,1
"p9sarr1",1,0,1,0,1,1,0,1,0
"p9sarr1col",3,0,3,0,4,4,0,2,0
"p9sarr1sha",3,0,2,0,2,1,0,2,0
"p9sarr2",1,0,1,0,1,1,0,1,0
"p9sarr2col",2,0,5,0,2,4,0,1,0
"p9sarr2sha",3,0,3,0,3,3,0,1,0
"p9sarr3",1,0,1,0,1,1,0,1,0
"p9sarr3col",2,0,4,0,4,4,0,6,0
"p9sarr3sha",1,0,3,0,2,3,0,2,0
"p9sarr4",1,0,1,0,1,1,0,1,0
"p9sarr4col",3,0,5,0,4,5,0,4,0
"p9sarr4sha",3,0,1,0,2,3,0,2,0
"prototype1",0,0,1,1,1,0,1,0,1
"prototype10",0,0,1,1,1,1,0,0,1
"prototype10col",0,0,6,2,6,5,0,0,4
"prototype10sha",0,0,3,2,1,1,0,0,1
"prototype1col",0,0,2,3,2,0,2,0,1
"prototype1sha",0,0,1,2,1,0,2,0,1
"prototype2",1,0,1,1,1,0,1,0,0
"prototype2col",6,0,6,1,6,0,5,0,0
"prototype2sha",2,0,2,2,1,0,2,0,0
"prototype3",0,0,1,1,1,1,0,1,0
"prototype3col",0,0,1,2,1,5,0,6,0
"prototype3sha",0,0,2,1,1,1,0,3,0
"prototype4",1,1,0,1,1,0,0,1,0
"prototype4col",6,1,0,6,6,0,0,6,0
"prototype4sha",3,3,0,1,3,0,0,2,0
"prototype5",0,1,1,0,1,1,1,0,0
"prototype5col",0,4,2,0,1,4,2,0,0
"prototype5sha",0,1,2,0,1,1,3,0,0
"prototype6",0,1,1,0,1,1,0,1,0
"prototype6col",0,3,1,0,4,1,0,1,0
"prototype6sha",0,2,1,0,1,3,0,3,0
"prototype7",0,1,1,1,0,0,1,0,1
"prototype7col",0,1,6,4,0,0,4,0,2
"prototype7sha",0,1,3,1,0,0,2,0,1
"prototype8",1,1,1,0,0,0,1,0,1
"prototype8col",5,1,3,0,0,0,1,0,4
"prototype8sha",1,1,1,0,0,0,2,0,3
"prototype9",1,0,1,0,1,1,0,1,0
"prototype9col",2,0,3,0,1,2,0,2,0
"prototype9sha",2,0,2,0,2,3,0,3,0
